Age_Group,Gender,City_Type,Region,Occupation,Education,Income,Last_Purchase,Yearly_Purchases,Annual_Spend,Western_Frequency,Primary_Channel,Style,Fitness,Top_Factor,Occasion,Product_Interest,Bundle_Interest,Avg_Price,Too_Cheap,Acceptable,Too_Expensive,Trendiness,Quality_Pref,Identity_Expression,Peer_Influence,Aspirational,New_Brand_Open,Sustainability,COD_Preference,Concern,Loyalty_Offer,Brand,Switch_Reason,Discount_Type,Purchase_Intent
33–40,Non-binary,Metro,South,Unemployed,Graduate,15-30k,1-3m,20+,5-15k,Weekly,Meesho,Fusion,No,Sustainability,Party,Athleisure,No,500-1000,900-1200,2000-3000,>6000,1,4,3,2,1,5,1,No preference,Returns,Birthday,Bonkers,Service,Welcome,High
41–50,Non-binary,Metro,Central,Business,Graduate,15-30k,1-3m,1-3,60k-1L,Monthly,Instagram,Ethnic,Occasional,Trend,Daily,Athleisure,Yes,>7000,300-600,1300-2000,>6000,2,4,5,5,3,5,5,No,No online,None,Zara,Quality,Free Shipping,Moderate
25–32,Female,Tier-2,Central,Homemaker,Diploma,30-60k,<7d,7-12,60k-1L,Monthly,Ajio,Formal,Daily,Comfort,College,Sneakers,Maybe,>7000,600-900,1300-2000,>1500,3,2,4,4,3,4,5,No preference,Delivery,Points,Uniqlo,Quality,Welcome,Neutral
41–50,Prefer not to say,Tier-3,North-East,Student,Graduate,15-30k,1-3m,1-3,>1L,Monthly,Offline,Athleisure,Daily,Price,Daily,Co-ord,No,1000-2000,300-600,2000-3000,>3000,4,3,4,4,1,4,5,First time,None,None,None,Quality,Scratch,Neutral
41–50,Male,Rural,South,Freelancer,Diploma,NA,1-3m,13-20,>1L,Rare,Nykaa,Ethnic,Daily,Trend,Party,Sneakers,Yes,500-1000,900-1200,800-1300,>1500,5,4,1,5,4,3,5,Always,None,Points,None,Recommendation,Flat,Moderate
18–24,Prefer not to say,Tier-2,West,Private,Diploma,NA,8-30d,1-3,30-60k,Rare,Nykaa,Ethnic,3-4x,Sustainability,Daily,Cargo,No,>7000,300-600,2000-3000,>6000,3,1,1,2,2,3,1,First time,Sizing,None,Local,Quality,Welcome,Neutral
25–32,Male,Metro,North,Private,Postgraduate,NA,>6m,4-6,5-15k,Monthly,Meesho,Casual,Daily,Price,Festive,Athleisure,Maybe,500-1000,300-600,800-1300,>2000,2,5,3,2,2,3,3,No preference,No online,Birthday,Local,Trend,Flat,None
25–32,Non-binary,Rural,East,Homemaker,Postgraduate,15-30k,3-6m,7-12,15-30k,Quarterly,Brand,Athleisure,3-4x,Trend,Daily,Athleisure,Yes,500-1000,1200-1500,1300-2000,>2000,1,2,3,3,3,3,5,First time,None,Referral,Uniqlo,Quality,B2G1,Moderate
25–32,Male,Metro,Central,Unemployed,School,15-30k,1-3m,7-12,30-60k,Monthly,Meesho,Casual,Daily,Comfort,Daily,Accessories,Maybe,<500,300-600,800-1300,>1500,5,2,1,2,5,3,3,No,Delivery,Points,Uniqlo,Price,Bundle,Moderate
41–50,Non-binary,Tier-3,East,Freelancer,Graduate,NA,1-3m,20+,60k-1L,Rare,Nykaa,Fusion,3-4x,Comfort,Festive,Athleisure,Yes,>7000,300-600,800-1300,>2000,1,4,2,1,1,5,1,First time,Returns,Birthday,None,Quality,B2G1,Moderate
33–40,Prefer not to say,Tier-2,West,Unemployed,School,15-30k,3-6m,13-20,60k-1L,Weekly,Meesho,Ethnic,No,Price,Festive,Sneakers,No,2000-4000,300-600,800-1300,>6000,5,3,1,2,5,4,4,No,Returns,Early Access,Roadster,Service,Flat,High
25–32,Non-binary,Tier-3,Central,Unemployed,Graduate,15-30k,1-3m,7-12,<5k,Quarterly,Amazon,Fusion,No,Quality,Festive,Athleisure,Yes,<500,<300,3000-4000,>4000,4,3,1,3,2,3,3,No,None,Early Access,Local,Quality,Scratch,Neutral
